date,State,Confirmed,Recovered,Deceased,Other,Tested,Active
30-01-2020,Kerala,1,0,0,0,,1
30-01-2020,India,1,0,0,0,,1
02-02-2020,Kerala,2,0,0,0,,2
02-02-2020,India,2,0,0,0,,2
03-02-2020,Kerala,3,0,0,0,,3
03-02-2020,India,3,0,0,0,,3
14-02-2020,Kerala,3,3,0,0,,0
14-02-2020,India,3,3,0,0,,0
02-03-2020,Delhi,1,0,0,0,,1
02-03-2020,Kerala,3,3,0,0,,0
02-03-2020,Telangana,1,0,0,0,,1
02-03-2020,India,5,3,0,0,,2
03-03-2020,Delhi,1,0,0,0,,1
03-03-2020,Kerala,3,3,0,0,,0
03-03-2020,Rajasthan,1,0,0,0,,1
03-03-2020,Telangana,1,0,0,0,,1
03-03-2020,India,6,3,0,0,,3
04-03-2020,Delhi,1,0,0,0,,1
04-03-2020,Haryana,14,0,0,0,,14
04-03-2020,Kerala,3,3,0,0,,0
04-03-2020,Rajasthan,2,0,0,0,,2
04-03-2020,Telangana,1,0,0,0,,1
04-03-2020,India,28,3,0,0,,25
04-03-2020,Uttar Pradesh,7,0,0,0,,7
05-03-2020,Delhi,2,0,0,0,,2
05-03-2020,Haryana,14,0,0,0,,14
05-03-2020,Kerala,3,3,0,0,,0
05-03-2020,Rajasthan,2,0,0,0,,2
05-03-2020,Telangana,1,0,0,0,,1
05-03-2020,India,30,3,0,0,,27
05-03-2020,Uttar Pradesh,8,0,0,0,,8
06-03-2020,Delhi,3,0,0,0,,3
06-03-2020,Haryana,14,0,0,0,,14
06-03-2020,Kerala,3,3,0,0,,0
06-03-2020,Rajasthan,2,0,0,0,,2
06-03-2020,Telangana,1,0,0,0,,1
06-03-2020,India,31,3,0,0,,28
06-03-2020,Uttar Pradesh,8,0,0,0,,8
07-03-2020,Delhi,3,0,0,0,,3
07-03-2020,Haryana,14,0,0,0,,14
07-03-2020,Kerala,3,3,0,0,,0
07-03-2020,Ladakh,2,0,0,0,,2
07-03-2020,Rajasthan,2,0,0,0,,2
